longitude,latitude
33.800864,31.126646
33.976111,28.555556
33.800864,31.126646
33.835403,31.072804
34.241281,31.250196
31.334314,30.084628
33.617577,30.608472
34.153195,29.310183
33.228604,30.046109
34.219944,31.173071
33.800864,31.126646
34.241281,31.250196
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.617577,30.608472
33.800864,31.126646
33.617577,30.608472
33.800864,31.126646
34.241281,31.250196
34.161843,31.1279
34.161843,31.1279
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.617577,30.608472
33.25267,28.672312
34.146268,31.082872
33.800864,31.126646
33.800864,31.126646
33.617577,30.608472
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
34.241281,31.250196
34.241281,31.250196
34.241281,31.250196
31.235712,30.04442
34.241281,31.250196
32.240311,26.048795
33.617577,30.608472
33.800864,31.126646
31.334314,30.084628
31.334314,30.084628
31.814443,31.417539
33.008587,31.016779
31.334314,30.084628
33.606319,30.600094
32.703367,29.591819
32.178526,29.365421
33.800864,31.126646
33.306915,28.679594
33.749462,29.905631
33.800864,31.126646
33.788052,30.87394
33.800864,31.126646
34.241281,31.250196
34.241281,31.250196
31.334314,30.084628
33.800864,31.126646
31.218796,30.327842
33.663463,28.712988
31.246842,30.118598
,
32.301866,31.265289
31.504058,30.576563
33.800864,31.126646
33.617577,30.608472
27.248633,31.335899
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
34.217949,31.27591
34.241281,31.250196
34.117064,31.212225
34.117064,31.212225
34.146268,31.082872
34.241281,31.250196
33.800864,31.126646
33.800864,31.126646
34.117064,31.212225
33.800864,31.126646
34.241281,31.250196
33.617577,30.608472
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
34.117064,31.212225
33.617577,30.608472
31.334314,30.084628
33.800864,31.126646
34.117064,31.212225
33.800864,31.126646
31.185193,30.022924
34.228489,31.229982
34.217949,31.27591
32.301866,31.265289
33.800864,31.126646
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
32.87582,24.978548
34.17469,31.213976
33.617577,30.608472
33.800864,31.126646
33.800864,31.126646
34.241281,31.250196
34.241281,31.250196
34.241281,31.250196
33.800864,31.126646
33.800864,31.126646
34.241281,31.250196
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
32.111443,30.562224
33.800864,31.126646
33.800864,31.126646
33.717454,30.65881
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
34.241281,31.250196
34.003844,31.150532
33.800864,31.126646
33.800864,31.126646
34.241281,31.250196
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
34.003844,31.150532
34.241281,31.250196
33.810298,30.498423
31.334314,30.084628
33.800864,31.126646
31.377196,31.041021
33.800864,31.126646
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
34.054656,31.191658
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
33.855743,31.131726
33.800864,31.126646
33.617577,30.608472
34.241281,31.250196
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.617577,30.608472
33.008587,31.016779
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
32.267849,30.604231
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
31.179426,27.181122
33.800864,31.126646
33.800864,31.126646
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
31.774317,30.685926
27.248633,31.335899
31.456419,30.026531
,
,
33.008587,31.016779
32.258606,30.59241
34.241281,31.250196
30.343551,30.514758
33.800864,31.126646
34.117064,31.212225
32.271459,30.596492
33.490963,31.034108
34.117064,31.212225
33.964448,31.164414
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
34.117064,31.212225
32.265389,30.583093
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
30.781921,27.776823
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
31.334314,30.084628
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
32.314716,30.90807
33.800864,31.126646
31.334314,30.084628
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
31.334314,30.084628
32.271459,30.596492
32.899829,24.088938
33.800864,31.126646
31.185193,30.022924
31.334314,30.084628
,
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
31.334314,30.084628
34.241281,31.250196
34.241281,31.250196
32.271459,30.596492
31.269641,30.135777
,
34.205718,31.269161
33.949759,29.233803
31.967124,30.733482
31.678848,31.387641
34.241281,31.250196
34.117064,31.212225
32.301163,31.267161
32.271459,30.596492
34.241281,31.250196
31.277878,30.146909
34.117064,31.212225
34.368583,30.666689
32.527968,29.966111
33.800864,31.126646
33.800864,31.126646
34.117064,31.212225
30.838026,27.929867
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.726127,30.475543
32.301866,31.265289
33.617577,30.608472
33.800864,31.126646
32.271324,30.596353
33.800864,31.126646
32.286753,30.618391
33.622913,28.245118
31.334314,30.084628
31.185193,30.022924
32.301866,31.265289
32.276153,30.605262
33.785693,30.4653
34.241281,31.250196
34.241281,31.250196
33.800864,31.126646
33.800864,31.126646
34.241281,31.250196
33.800864,31.126646
33.737959,30.593786
34.117064,31.212225
34.241281,31.250196
33.611755,30.675715
34.117064,31.212225
33.611755,30.675715
33.800864,31.126646
33.800864,31.126646
32.273649,30.604512
32.273649,30.604512
31.334314,30.084628
34.117064,31.212225
34.241281,31.250196
34.303909,29.668961
33.622742,30.689888
34.241281,31.250196
33.800864,31.126646
31.720059,30.732442
31.720059,30.732442
31.720059,30.732442
33.800864,31.126646
31.358445,31.041796
34.117064,31.212225
33.800864,31.126646
34.201193,31.223425
31.334314,30.084628
34.241281,31.250196
33.62257,28.240884
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
32.263606,30.593751
33.800864,31.126646
31.334314,30.084628
31.334314,30.084628
33.644714,30.699335
31.334314,30.084628
32.277435,30.603049
34.241281,31.250196
33.800864,31.126646
31.334314,30.084628
34.241281,31.250196
31.334314,30.084628
34.241281,31.250196
34.241281,31.250196
34.117064,31.212225
34.117064,31.212225
32.271942,30.595366
31.377034,30.016894
33.800864,31.126646
31.334314,30.084628
31.379664,31.039309
31.377034,30.016894
