iyear,imonth,iday,extended,governorate,city,longitude,latitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1_txt,gname,individual,weaptype,weaptype_txt,nkills
2016,8,12,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,3,Police,22,"Police Building (headquarters, station, school)",Police Officers' Club,Egypt,Unknown,0,6,Explosives,4
2016,8,15,0,North Sinai,Maghfar,33.617577,30.608472,1,0,3,Bombing/Explosion,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Soldiers,Egypt,Unknown,0,6,Explosives,3
2016,8,15,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,3,Police,25,Police Security Forces/Officers,Officer,Egypt,Unknown,0,6,Explosives,1
2016,8,15,0,North Sinai,Unknown,33.850052,31.066526,1,0,3,Bombing/Explosion,4,Military,35,Military Transportation/Vehicle (excluding convoys),Water Tanker,Egypt,Unknown,0,6,Explosives,3
2016,8,15,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,1,3,Bombing/Explosion,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Sinai Province of the Islamic State,0,6,Explosives,
2016,8,18,0,North Sinai,Al-Qusaymah,34.368583,30.666689,1,0,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Security Building,Egypt,Unknown,0,6,Explosives,0
2016,8,18,0,North Sinai,Rafah,34.241281,31.250196,1,0,2,Armed Assault,3,Police,24,Police Checkpoint,Checkpoint,Egypt,Muslim extremists,0,5,Firearms,2
2016,8,18,0,North Sinai,Rafah,34.241281,31.250196,1,0,2,Armed Assault,4,Military,36,Military Checkpoint,Al Masurah Checkpoint,Egypt,Sinai Province of the Islamic State,0,5,Firearms,0
2016,8,19,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Convoy,Egypt,Unknown,0,6,Explosives,0
2016,8,21,0,Monufia,Sadat,30.531451,30.371207,1,0,2,Armed Assault,3,Police,24,Police Checkpoint,al-Egeizy Security Checkpoint,Egypt,Revolution's Brigade,0,5,Firearms,3
2016,8,22,0,North Sinai,Arish,33.800864,31.126646,1,0,2,Armed Assault,4,Military,29,Military Unit/Patrol/Convoy,Patrol,Egypt,Sinai Province of the Islamic State,0,5,Firearms,1
2016,8,23,0,North Sinai,Arish,33.800864,31.126646,1,0,2,Armed Assault,3,Police,23,Police Patrol (including vehicles and convoys),Vehicle,Egypt,Unknown,0,5,Firearms,2
2016,8,24,0,Cairo,Cairo,31.334314,30.084628,1,0,2,Armed Assault,15,Religious Figures/Institutions,86,Place of Worship,Church,Egypt,Muslim Brotherhood,0,9,Melee,1
2016,8,24,1,North Sinai,Arish,33.800864,31.126646,1,0,4,Hijacking,3,Police,25,Police Security Forces/Officers,Officer: Ahmed Salma,Egypt,Sinai Province of the Islamic State,0,5,Firearms,1
2016,8,25,0,North Sinai,Rafah,34.241281,31.250196,1,0,2,Armed Assault,4,Military,36,Military Checkpoint,Al-Masoura Security Checkpoint,Egypt,Sinai Province of the Islamic State,0,5,Firearms,6
2016,8,25,0,North Sinai,At Tumah,34.087422,31.16983,0,0,9,Unknown,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Sinai Province of the Islamic State,0,13,Unknown,5
2016,8,25,0,North Sinai,Rafah,34.241281,31.250196,0,0,3,Bombing/Explosion,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Forces,Egypt,Unknown,0,6,Explosives,0
2016,8,25,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,0,3,Bombing/Explosion,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Forces,Egypt,Unknown,0,6,Explosives,0
2016,8,25,0,North Sinai,Unknown,34.068428,31.206487,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,25,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,26,0,North Sinai,Arish,33.800864,31.126646,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,26,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,26,0,North Sinai,Rafah,34.241281,31.250196,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,26,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,8,26,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,1,0,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Checkpost,Egypt,Unknown,0,6,Explosives,0
2016,8,26,0,North Sinai,Rafah,34.241281,31.250196,0,0,3,Bombing/Explosion,4,Military,36,Military Checkpoint,Al-Nafora Checkpoint,Egypt,Muslim extremists,0,6,Explosives,4
2016,8,29,0,Giza,Giza,31.185193,30.022924,1,0,2,Armed Assault,3,Police,24,Police Checkpoint,Checkpoint,Egypt,Muslim Brotherhood,0,5,Firearms,0
2016,8,30,0,North Sinai,Rafah,34.241281,31.250196,1,0,9,Unknown,4,Military,36,Military Checkpoint,Al Masurah Checkpoint,Egypt,Unknown,0,13,Unknown,0
2016,8,30,0,North Sinai,Rafah,34.241281,31.250196,1,0,9,Unknown,4,Military,36,Military Checkpoint,Sadut Checkpoint,Egypt,Unknown,0,13,Unknown,0
2016,8,31,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,0,2,Armed Assault,4,Military,36,Military Checkpoint,Artil Military Checkpoint,Egypt,Unknown,0,5,Firearms,0
2016,8,31,0,North Sinai,Unknown,33.617577,30.608472,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,9,1,0,North Sinai,Unknown,33.617577,30.608472,0,0,9,Unknown,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Unknown,0,13,Unknown,1
2016,9,1,0,North Sinai,Unknown,33.617577,30.608472,0,0,9,Unknown,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Unknown,0,13,Unknown,1
2016,9,1,0,North Sinai,Unknown,33.617577,30.608472,0,0,9,Unknown,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Unknown,0,13,Unknown,1
2016,9,1,0,North Sinai,Arish,33.800864,31.126646,0,0,9,Unknown,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Unknown,0,13,Unknown,0
2016,9,1,0,North Sinai,Unknown,33.472405,31.073358,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,9,1,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,4,Military,35,Military Transportation/Vehicle (excluding convoys),Vehicle,Egypt,Unknown,0,6,Explosives,2
2016,9,1,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Vehicle,Egypt,Unknown,0,6,Explosives,2
2016,9,2,0,North Sinai,Unknown,34.006209,31.169537,1,0,2,Armed Assault,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Soldier,Egypt,Unknown,0,5,Firearms,1
2016,9,2,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,1,0,3,Bombing/Explosion,14,Private Citizens & Property,76,House/Apartment/Residence,House,Egypt,Unknown,0,6,Explosives,0
